boat_COG	boat_heading	boat_lat	boat_lon	boat_speed	datetime	skiff_COG	skiff_heading	skiff_lat	skiff_lon	skiff_speed
74.69	2.54516492225	60.868661667	-147.382213333	1.507	2018-07-26 12:40:20	nan	nan	nan	nan	nan
64.31	2.91452370004	60.8687	-147.382066667	1.806	2018-07-26 12:40:25	nan	nan	nan	nan	nan
59.59	3.73858661936	60.868736667	-147.381925	1.667	2018-07-26 12:40:30	nan	nan	nan	nan	nan
63.63	3.28479768332	60.868761667	-147.381796667	1.698	2018-07-26 12:40:35	nan	nan	nan	nan	nan
50.27	1.56395816357	60.868801667	-147.381673333	1.837	2018-07-26 12:40:40	nan	nan	nan	nan	nan
49.31	0.588361410773	60.868845	-147.381553333	1.873	2018-07-26 12:40:45	nan	nan	nan	nan	nan
50.23	1.37560427565	60.868895	-147.381418333	1.934	2018-07-26 12:40:50	nan	nan	nan	nan	nan
44.3	1.83649672766	60.868946667	-147.3813	1.677	2018-07-26 12:40:55	nan	nan	nan	nan	nan
49.22	2.02245410617	60.86898	-147.381211667	1.312	2018-07-26 12:41:00	nan	nan	nan	nan	nan
49.99	1.88126519061	60.869008333	-147.381125	1.343	2018-07-26 12:41:05	nan	nan	nan	nan	nan
56.63	0.822336696367	60.869045	-147.380995	1.636	2018-07-26 12:41:10	nan	nan	nan	nan	nan
51.31	2.18012732269	60.869085	-147.380871667	1.502	2018-07-26 12:41:15	nan	nan	nan	nan	nan
58.59	2.88310517245	60.86912	-147.380783333	1.245	2018-07-26 12:41:20	nan	nan	nan	nan	nan
62.94	2.67561199737	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	3.57397539847	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	3.14396299109	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	4.32301461843	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	3.18961456396	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	3.24061873233	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	2.3600366743	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	2.24631975306	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	1.92067497983	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	2.57082637974	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	1.73149613735	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	1.93422419942	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	2.06265043574	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	0.824513685435	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	2.0459373566	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	2.57928760321	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	0.621787401735	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	0.552727193442	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	2.39370193995	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	3.28181317284	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	3.46336424154	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	3.48137668381	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	3.83765295428	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	3.81116392264	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	4.52370379538	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	5.02793034825	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	5.79394299862	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	6.89891288385	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	5.5930878715	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	4.40572924172	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	2.55857267072	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	4.4547181047	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	5.58062895712	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	5.51404541591	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	4.51632841377	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	3.82646455772	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	2.51660077974	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	2.04935025745	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	3.25093246243	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	3.37475184388	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	1.8182457898	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	1.38851357611	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	1.32891982404	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	2.44819049381	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	3.48335184791	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	4.17772530759	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	3.7066914006	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
62.94	3.98602165947	60.869145	-147.380688333	1.322	2018-07-26 12:41:25	nan	nan	nan	nan	nan
